status,funding_rounds,funding_total_usd,milestones,relationships,age,success_status,success_binary
closed,1.0,13000000.0,,,2.53,0,0
operating,,,1.0,,1.71,0,0
operating,,,1.0,3.0,1.42,0,0
operating,,,,1.0,7.16,0,0
acquired,,,,,33.0,1,1
operating,,,,4.0,7.0,0,0
acquired,4.0,135826373.0,2.0,3.0,13.0,1,1
operating,1.0,2000000.0,,3.0,5.0,0,0
operating,1.0,7800000.0,,2.0,7.0,0,0
operating,,,,1.0,7.0,0,0
operating,1.0,100000.0,,2.0,4.05,0,0
operating,,,,,7.0,0,0
operating,,,1.0,3.0,7.0,0,0
operating,,,,1.0,1.72,0,0
acquired,1.0,6500000.0,1.0,1.0,7.0,1,1
operating,,,,2.0,6.0,0,0
operating,,,1.0,1.0,3.0,0,0
operating,,,1.0,1.0,24.0,0,0
operating,,,,,12.0,0,0
operating,,,,,11.0,0,0
operating,,,,2.0,3.0,0,0
operating,,,2.0,2.0,1.42,0,0
